variable	role	data_type	nullable	default_analysis_use	source	description
WITHIN_PC6	covariate	float	true	within-ancestry covariate	PGS analysis_dataset.tsv	Within-ancestry PC6; comparable only within assigned ancestry and unavailable for some groups.
WITHIN_PC7	covariate	float	true	within-ancestry covariate	PGS analysis_dataset.tsv	Within-ancestry PC7; comparable only within assigned ancestry and unavailable for some groups.
WITHIN_PC8	covariate	float	true	within-ancestry covariate	PGS analysis_dataset.tsv	Within-ancestry PC8; comparable only within assigned ancestry and unavailable for some groups.
WITHIN_PC9	covariate	float	true	within-ancestry covariate	PGS analysis_dataset.tsv	Within-ancestry PC9; comparable only within assigned ancestry and unavailable for some groups.
WITHIN_PC10	covariate	float	true	within-ancestry covariate	PGS analysis_dataset.tsv	Within-ancestry PC10; comparable only within assigned ancestry and unavailable for some groups.
PGS_adhd_2022	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_afb_2018	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_agesmk_2022	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_asd_ipsych_dbs	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_asd_loSSC	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_bip_2024	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_bmi_2018	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_cigperday_2022	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_drinks_2022	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_edu_2022	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_haircolor_black_2025	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_haircolor_darkbrown_2025	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_height_2022	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_iq_2018	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_mdd_2025	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_no2_2018	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_pm25_2018	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_scz_2022	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_smkces_2022	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
PGS_smoking_2022	predictor	float	false	polygenic predictor	PGS analysis_dataset.tsv	Centered PLINK SCORE1_AVG; not residualized or standardized.
lof_t1	predictor	integer	false	rare-variant burden predictor	aggregated primary-eligible rare-variant output	Qualifying lof_t1 allele count across autosomes plus primary-eligible sex-chromosome calls.
lof_t2	predictor	integer	false	rare-variant burden predictor	aggregated primary-eligible rare-variant output	Qualifying lof_t2 allele count across autosomes plus primary-eligible sex-chromosome calls.
miss_t1	predictor	integer	false	rare-variant burden predictor	aggregated primary-eligible rare-variant output	Qualifying missense allele count satisfying four of four score criteria across autosomes plus primary-eligible sex-chromosome calls.
miss_t2	predictor	integer	false	rare-variant burden predictor	aggregated primary-eligible rare-variant output	Qualifying missense allele count satisfying three of four score criteria across autosomes plus primary-eligible sex-chromosome calls.
miss_t3	predictor	integer	false	rare-variant burden predictor	aggregated primary-eligible rare-variant output	Qualifying missense allele count satisfying two of four score criteria across autosomes plus primary-eligible sex-chromosome calls.
miss_t4	predictor	integer	false	rare-variant burden predictor	aggregated primary-eligible rare-variant output	Qualifying missense allele count satisfying one of four score criteria across autosomes plus primary-eligible sex-chromosome calls.
